"key","message","comment","context"
"Migration Card Serial","Tasima Karti Seri",,
"Migration Card Officer code","Goc Karti Memur Kodu",,
"Migration Card No","Goc Karti No",,
"Migration Card Finish","Goc Karti Kaplamasi",,
"Migration Card","Goc Karti",,
"Messages","Mesaj",,
"Maximum value for hours exceeded (configure daily work hours in employee)","Saatler icin Maksimum Deger Asildi (calisanda Gunluk calisma Saatlerini Yapilandirin)",,
"Maximum Condition","Maksimum Durum",,
"Mass export list","Kitle ihracat Listesi",,
"Married","Evli",,
"Marital status","Medeni Hal",,
"Marital name","Evlilik Adi",,
"Manager","Mudur",,
"Manage Accumulation","Birikimi Yonetin",,
"Man","Erkek Adam",,
"Main employment contract status","Ana istihdam Sozlesmesi Durumu",,
"Main employment contract","Ana is Sozlesmesi",,
"Main activity code","Ana Etkinlik Kodu",,
"Main","Ana",,
"Maiden name","Kizlik Soyadi",,
"MATRICULE","Matrisul",,
"M","M",,
"LunchVoucherCommand","ogle Yemegivouchercommand",,
"LunchVoucher.total","Lunchvoucher.Total",,
"LunchVoucher.to","ogle Yemegivoucher.To",,
"LunchVoucher.subtotal","ogle Yemegivoucher.Subtotal",,
"LunchVoucher.signatureDocument","ogle Yemegivoucher.Signaturedocument",,
"LunchVoucher.signature","ogle Yemegivoucher.Sigature",,
"LunchVoucher.qty","Lunchvoucher.Qty",,
"LunchVoucher.names","ogle Yemegivoucher.Names",,
"LunchVoucher.month","Lunchvoucher.Month",,
"LunchVoucher.lvFrom","ogle Yemegivoucher.Lvfrom",,
"LunchVoucher.leavesFrom","ogle Yemegivoucher.Leavesfrom",,
"LunchVoucher.handedOn","Lunchvoucher.Hedton",,
"LunchVoucher.employerShare","ogle Yemegivoucher.Employershare",,
"LunchVoucher.employeeShare","ogle Yemegivoucher.Employeeshare",,
"LunchVoucher.comment","ogle Yemegivoucher.Comment",,
"LunchVoucher.amount","ogle Yemegivoucher.Amount",,
"Lunch vouchers' number","ogle Yemegi Kuponlari Numarasi",,
"Lunch vouchers used","ogle Yemegi Kuponlari Kullanilir",,
"Lunch vouchers distributed","ogle Yemegi Kuponlari Dagitilmis",,
"Lunch vouchers","ogle Yemegi Kuponlari",,
"Lunch voucher supplier","ogle Yemegi Kuponu Tedarikcisi",,
"Lunch voucher management filters","ogle Yemegi Yonetimi Filtreleri",,
"Lunch voucher advances","ogle Yemegi Kuponu Gelisir",,
"Lunch voucher advance","ogle Yemegi Kuponu ilerlemesi",,
"Lunch Vouchers","ogle Yemegi Kuponlari",,
"Lunch Voucher's number","ogle Yemegi Kuponunun Numarasi",,
"Lunch Voucher format","ogle Yemegi Kuponu Formati",,
"Lunch Voucher Wage Share","ogle Yemegi ucret Paylasimi",,
"Lunch Voucher Management","ogle Yemegi Yonetimi",,
"Lunch Voucher Lines","ogle Yemegi cizgileri",,
"Lunch Voucher Line","ogle Yemegi cizgisi",,
"Lunch Voucher Format","ogle Yemegi Kuponu Formati",,
"Lunch Voucher Employer's Share","ogle Kuponu isveren Paylasimi",,
"Lunch Voucher","ogle Yemegi Kuponu",,
"Login","Giris Yapmak",,
"Logged Time","Kayitli Zaman",,
"Log time","Kutuk",,
"Log Times","Kutuk",,
"Log Time","Kutuk",,
"List of employees","calisanlar Listesi",,
"Lines Generation Wizard","Hatlar Nesil Sihirbazi",,
"Line will be attached to a subsequent timesheet","Bir Sonraki Zaman cizelgesine Satir Eklenecek",,
"Level","Seviyesi",,
"Leaving date","Ayrilma Tarihi",,
"Leaves to be Validated by your subordinates","Astlariniz Tarafindan Dogrulanacak Yapraklar",,
"Leaves calendar","Takvimi Birakir",,
"Leaves and timesheets","Yapraklar Ve Zaman cizelgeleri",,
"Leaves Templates","sablonlar Birakir",,
"Leaves Management","Yaprak Yonetimi",,
"Leaves","Yapraklar",,
"LeaveRequest","Leaveridequest",,
"Leave to justify","Hakli cikarmak",,
"Leave request filters","Talep Filtrelerini Birakin",,
"Leave request","Birakma Talebi",,
"Leave reason and day number have to be defined","Sebep Ve Gunluk Numaranin Tanimlanmasi Gerekir",,
"Leave reason","Neden Olmak",,
"Leave period","Ayrilma Donemi",,
"Leave management batch rule list","Yonetim Toplu Kural Listesi'Nden Birakin",,
"Leave management batch","Management Batch Birakin",,
"Leave management","Ayrilma Yonetimi",,
"Leave line","Terk Etmek",,
"Leave days' number","Gunlerin Numarasi Birakin",,
"Leave day number","Gun Numarasi Birakin",,
"Leave counter reset","Sayaci Sifirla Birakin",,
"Leave accounts","Hesap Birak",,
"Leave Requests to Validate","Dogrulamak icin istekleri Birakin",,
"Leave Requests","Talep Talepleri",,
"Leave Request Notification Mail","Talep Bildirimi Postasi Birakin",,
"Leave Request","Birakma Talebi",,
"Leave Reason for Leave to justify","Hakli cikarmak icin izin Nedeni",,
"Leave Reason","Neden Olmak",,
"Leave Per Employee","calisan Basina Ayrilma",,
"Leave Management Reset","Ayrilma Yonetimi Sifirlama",,
"Leave Management Batch Rule","Yonetim Toplu Kuralini Birakin",,
"Leave Management","Ayrilma Yonetimi",,
"Leave List","Ayrilma Listesi",,
"Leave Batch rules","Parti Kurallarini Birakin",,
"Last name","Soyadi",,
"Label","Etiket",,
"LIEU","Yalanci",,
"Kronik hastalik","Kronik Hastalik",,
"Knowledge of foreign languages","Yabanci Diller Bilgisi",,
"Kilometrice log","Kilometri Gunlugu",,
"Kilometrice Allowance Params","Kilometrie odenek Paramleri",,
"Kilometrice Allowance Param","Kilometrie odenegi Param",,
"Kilometric log list","Kilometrik Gunluk Listesi",,
"Kilometric log","Kilometrik Kutuk",,
"Kilometric lines","Kilometrik cizgiler",,
"Kilometric expense product","Kilometrik Gider urunu",,
"Kilometric allowance rules","Kilometrik odenek Kurallari",,
"Kilometric allowance rule list","Kilometrik odenek Kural Listesi",,
"Kilometric allowance rule","Kilometrik odenek Kurali",,
"Kilometric allowance rates","Kilometrik odenek Oranlari",,
"Kilometric allowance rate","Kilometrik odenek Orani",,
"Kilometric allowance list","Kilometrik odenek Listesi",,
"Kilometric Allowances","Kilometrik odenekler",,
"Kilometric Allowance Params","Kilometrik odenek Paramleri",,
"Kilometric Allowance Param","Kilometrik odenek Param",,
"Kilometric Allowance","Kilometrik odenek",,
"Keep Project for Start&Stop Timer","Baslat Ve Durdur Zamanlayici icin Projeyi Tutun",,
"Kan Grubu","Kan Grubu",,
"K.A.P.","K.A.P.",,
"Justification","Mesrulastirma",,
"Issuing authority","Duzenleyen Yetkili Makam",,
"Invoicing Type for Log Times","Gunluk Sureleri icin Faturalandirma Turu",,
"Invoiced","Faturalanmis",,
"Invitation No","Davet Hayir",,
"Invitation","Davet",,
"Invalid duration (must be a 0.5's multiple)","Gecersiz Sure (0,5'Ler Olmasi Gerekir)",,
"Invalid dates","Gecersiz Tarihler",,
"Invalid date, it can't be in the future","Gecersiz Tarih, Gelecekte Olamaz",,
"Invalid date periods","Gecersiz Tarih Donemleri",,
"Invalid date","Gecersiz Tarih",,
"Internal description","Dahili Aciklama",,
"Instruction","Talimat",,
"Inject/Consume","Enjekte/Tuket",,
"Inject","Enjekte Etmek",,
"Information","Bilgi",,
"Info","Bilgi",,
"Increase %","Arttirmak %",,
"Include in turnover forecast","Ciro Tahminine Ekle",,
"Inactive","Aktif Olmayan",,
"In advance","onceden",,
"In Trial","Yargilamada",,
"Imposed holidays planning","Empoze Edilen Tatil Planlamasi",,
"Human resource configurations","insan Kaynaklari Yapilandirmalari",,
"Human Resources configurations","insan Kaynaklari Yapilandirmalari",,
"Human Resources configuration","insan Kaynaklari Yapilandirmasi",,
"Human Resources User","insan Kaynaklari Kullanicisi",,
"Human Resources Manager","insan Kaynaklari Yoneticisi",,
"Human Resource config (${ name })","insan Kaynaklari Yapilandirmasi ($ {Name})",,
"Human Resource Manager","insan Kaynaklari Muduru",,
"HrConfig","Hrconfig",,
"Hr config","ik Yapilandirma",,
"Hr batch","ik Parti",,
"Hours distribution","Saat Dagilimi",,
"Hours","Saat",,
"Hourly rate","Saatlik ucret",,
"Hourly gross salary","Saatlik Brut Maas",,
"Hourly complement","Saatlik Tamamlayici",,
"Home Telephone No","Ana Sayfa Telefon Hayir",,
"Home Address","Ev Adresi",,
"Holiday","Tatil",,
"Historic team timesheets","Tarihi Takim Zaman cizelgeleri",,
"Historic team leave requests","Tarihi Team Talepler Talepleri",,
"Historic team Expenses","Tarihi Takim Masraflari",,
"Historic extra hours","Tarihi Ekstra Saatler",,
"Historic colleague extra hours","Tarihi Meslektasi Ekstra Saatler",,
"Historic colleague Timesheets","Tarihi Meslektaslari Zaman cizelgeleri",,
"Historic colleague Expenses","Tarihi Meslektas Giderleri",,
"Health service address","Saglik Hizmeti Adresi",,
"Health service","Saglik Hizmeti",,
"Health mutual rejection reasons","Saglik Karsilikli Reddetme Sebepleri",,
"Health mutual rejection reason","Saglik Karsilikli Reddetme Nedeni",,
"Health mutual","Saglik Karsilikli",,
"Health","Saglik",,
"Hardship allowance","Zorluk ikramiyesi",,
"HR manager","ik Yoneticisi",,
"HR information","ik Bilgileri",,
"HR config","ik Yapilandirma",,
"HR batches","ik Partileri",,
"HR batch filters","ik Parti Filtreleri",,
"HR Batch","ik Parti",,
"HR","ik",,
"Ground for refusal","Reddetme Zemini",,
"Ground For Refusal","Reddetme Zemini",,
"Google Maps error: %s","Google Haritalar Hatasi: %S",,
"Given to Employee","calisan'A Verildi",,
"Given lunch vouchers on the period","Donemde ogle Yemegi Kuponlari Verildi",,
"Given","Verilen",,
"Generate periods","Donemler Olusturmak",,
"Generate payroll prepa.","Bordro Prepa uretin.",,
"Generate new DPAE","Yeni Dpae uretin",,
"Generate lines","cizgiler Olusturun",,
"Generate human resource configurations","insan Kaynaklari Yapilandirmalari Olusturun",,
"Generate Lines automatically","Otomatik Olarak Satirlar uretin",,
"Generate Lines From Expected Planning","Beklenen Planlamadan Satirlar Olusturun",,
"General expenses","Genel Giderler",,
"General expense lines","Genel Gider Hatlari",,
"General Expenses","Genel Giderler",,
"General Expense","Genel Masraf",,
"General","Genel",,
"Fullscreen Editor","Tam Ekranli Editor",,
"Full name","Ad Soyad",,
"From generation date","Nesil Tarihinden itibaren",,
"From date can't be empty","Tarihten itibaren Bos Olamaz",,
"From date","itibaren",,
"From Date","itibaren",,
"From","itibaren",,
"Friday","Cuma",,
"Formula variables configuration","Formul Degiskenleri Yapilandirmasi",,
"Formula","Formul",,
"Former employees","Eski calisanlar",,
"Former employee","Eski calisan",,
"For foreign-born employees, please enter the code 99","Yabanci Dogumlu calisanlar icin Lutfen 99 Kodunu Girin",,
"Follow-up","Takip Et",,
"Fiscal year","Mali Yil",,
"Fiscal periods","Mali Donemler",,
"First name","ilk Adi",,
"First Name","ilk Adi",,
"Finished","Bitmis",,
"Finish","Bitis",,
"Files","Dosyalar",,
"File types","Dosya Turleri",,
"File type","Dosya Tipi",,
"File","Dosya",,
"Father Name","Baba Adi",,
"Faculty","Fakulte",,
"FMS serial","Fms Seri",,
"FMS No","Fms Hayir",,
"F","F",,
"ExtraHours","Ekstra Saatler",,
"Extra hours' number","Ekstra Saat 'Numarasi",,
"Extra hours type","Ekstra Saat Turu",,
"Extra hours to validate","Dogrulamak icin Ekstra Saatler",,
"Extra hours to be Validated by your subordinates","Astlariniz Tarafindan Dogrulanacak Ekstra Saatler",,
"Extra hours to Validate","Dogrulamak icin Ekstra Saatler",,
"Extra hours filters","Ekstra Saat Filtreleri",,
"Extra hours","Ekstra Saatler",,
"Extra Hours Templates","Ekstra Saat sablonlari",,
"Extra Hours Notification Mail","Ekstra Saat Bildirim Postasi",,
"Extra Hours","Ekstra Saatler",,
"External","Harici",,
"Extension and Miscellaneous Amendment","Uzatma Ve cesitli Degisiklik",,
"Extension Amendment","Uzatma Degisikligi",,
"Exports","ihracat",,
"Exported","ihrac Edilen",,
"Export type","ihracat Turu",,
"Export payroll preparation","ihracat Bordro Hazirligi",,
"Export for payroll preparation","Bordro Hazirligi icin ihracat",,
"Export employment contract","ihracat is Sozlesmesi",,
"Export des salari�s","ihracat Des Salari�s",,
"Export date","ihracat Tarihi",,
"Export code for lunch voucher management","ogle Yemegi Kuponu Yonetimi icin Disa Aktarma Kodu",,
"Export code for extra hour management","Ekstra Saat Yonetimi icin Disa Aktarma Kodu",,
"Export code for duration","Sure Disa Aktarma Kodu",,
"Export code","Disa Aktarma Kodu",,
"Export CSV","Csv ihrac Etmek",,
"Export","ihracat",,
"Expiry date of the validity period","Gecerlilik Suresinin Sona Erme Tarihi",,
"Expiration date","Son Kullanma Tarihi",,
"Experience duration","Deneyim Suresi",,
"Expenses to be Validated by your subordinates","Astlariniz Tarafindan Dogrulanacak Masraflar",,
"Expenses to Ventilate","Havalandirma Giderleri",,
"Expenses to Validate","Dogrulama Masraflari",,
"Expenses amount to pay","Masraflar odenecek Tutar",,
"Expenses","Masraflar",,
"ExpenseLine.yes","Expenseen.Yes",,
"ExpenseLine.untaxedAmount","Expensenine.Unkaxedamount",,
"ExpenseLine.totalTax","Exebeter.Totaltax",,
"ExpenseLine.toInvoice","Exebeline.Toinvoice",,
"ExpenseLine.project","Expenseeline.Project",,
"ExpenseLine.no","Expenseeline.No",,
"ExpenseLine.kilometricExpenseType","Exeneline.Kilometricexpensetype",,
"ExpenseLine.kilometricAllowParam","Expenseen.Kilometricallowparam",,
"ExpenseLine.expenseType","Exeneline.Expensetype",,
"ExpenseLine.expenseDate","Exebline.Expensedate",,
"ExpenseLine.distance","Expenseeline.Distance",,
"ExpenseLine.client","Expenseeline.Client",,
"ExpenseLine.cityTo","Expenseent.Cityto",,
"ExpenseLine.cityFrom","Expenseeline.Cityfrom",,
"ExpenseLine.amount","Expenseeline.Amount",,
"Expense.withdrawnCash","Gider. Withdrawncash",,
"Expense.totalToRefund","Masraf.Totaltorefund",,
"Expense.totalAmount","Masraf.",,
"Expense.totalA.T.I","Masser.Totala.T.i",,
"Expense.total","Masraf.Total",,
"Expense.personalExpenseAmount","Masraf.Personalexpenseamount",,
"Expense.period","Masraf.",,
"Expense.multipleUsers","Masraf.Multipleusers",,
"Expense.expenseOf","Masraf.Expenseof",,
"Expense.expenseDate","Masraf.Spensedate",,
"Expense.employerSignature","Expens.Employersignature",,
"Expense.employeeSignature","Expens.Employeesignature",,
"Expense.employeeName","Exerse.Employeename",,
"Expense.currency","Masraf",,
"Expense.companyCbSelect","E -Exense.Companycbselect",,
"Expense.comments","Exers.Comments",,
"Expense.advanceAmount","Masraf.Advanceamount",,
"Expense types","Gider Turleri",,
"Expense type","Gider Turu",,
"Expense tax account","Gider Vergisi Hesabi",,
"Expense paid with company's credit card","sirketin Kredi Karti ile odenen Gider",,
"Expense lines","Masraf Hatlari",,
"Expense line","Masraf Hatti",,
"Expense filters","Gider Filtreleri",,
"Expense date","Gider Tarihi",,
"Expense Type","Gider Turu",,
"Expense Templates","Gider sablonlari",,
"Expense Sequence","Gider Dizisi",,
"Expense Per Employee","calisan Basina Gider",,
"Expense N�","Gider N �",,
"Expense Notification Mail","Gider Bildirim Postasi",,
"Expense Journal","Gider Dergisi",,
"Expense","Masraf",,
"Executive status","Yonetici Statusu",,
"Executive Status","Yonetici Statusu",,
"Executive","Yonetici",,
"Exclude timesheet editor","Zaman cizelgesi Duzenleyicisi'Ni Haric Tutun",,
"Event","Etkinlik",,
"Establishment of the employer","isverenin Kurulmasi",,
"Entry","Giris",,
"End time","Bitis Zamani",,
"End of the week","Haftanin Sonu",,
"End of month","Ayin Sonu",,
"End of contract reasons","Sozlesme Nedenlerinin Sonu",,
"End of contract reason","Sozlesme Sonu Sebep",,
"End of contract","Sozlesmenin Sonu",,
"End date of hire","Kiralik Bitis Tarihi",,
"End date","Bitis Tarihi",,
"End On","Bitmek",,
"End Date","Bitis Tarihi",,
"Enable editor","Editor Etkinlestir",,
"Enable activity","Etkinligi Etkinlestir",,
"Enable DPAE","Dpae'Yi Etkinlestir",,
"Employments","istihdam",,
"EmploymentContractType.name","istihdamcorcttype.Name",,
"EmploymentContractType.description","istihdamcorcttype.Description",,
"EmploymentContractSubType.description","istihdam Contrectsubtype.Description",,
"EmploymentAmendmentType.name","istihdam",,
"EmploymentAmendmentType.endDate","istihdam",,
"EmploymentAmendmentType.companies","istihdam",,
"Employment.name","istihdam.Name",,
"Employment contracts/Contract amendments","is Sozlesmeleri/Sozlesme Degisiklikleri",,
"Employment contracts exported : %s","ihrac Edilen istihdam Sozlesmeleri: %S",,
"Employment contracts","is Sozlesmeleri",,
"Employment contract types","is Sozlesmesi Turleri",,
"Employment contract type","is Sozlesmesi Turu",,
"Employment contract templates","is Sozlesmesi sablonlari",,
"Employment contract template","is Sozlesmesi sablonu",,
"Employment contract export batch","istihdam Sozlesmesi ihracat Partisi",,
"Employment contract","is Sozlesmesi",,
"Employment Contracts","is Sozlesmeleri",,
"Employment Contract Templates","is Sozlesmesi sablonlari",,
"Employment","is",,
"Employees' other costs","calisanlarin Diger Maliyetleri",,
"Employees' leaves successfully computed : %s","calisanlar Basarili Bir sekilde Hesaplandi: %S",,
"Employees' leaves failed to be computed due to missing data : %s","Eksik Veriler Nedeniyle calisanlarin Yapraklari Hesaplanamadi: %S",,
"Employees' leaves failed to be computed due to configuration anomaly : %s","calisanlarin Yapraklari Konfigurasyon Nedeniyle Hesaplanamadi Anomali: %S",,
"Employees' leaves attempted to be computed : %s","calisanlarin Yapraklari Hesaplanmaya calisti: %S",,
"Employees management","calisanlar Yonetimi",,
"Employees failed to be computed due to anomaly: %d","calisanlar Anomali Nedeniyle Hesaplanamadi: %D",,
"Employees computed: %d","Hesaplanan calisanlar: %D",,
"Employees Management","calisanlar Yonetimi",,
"Employees","calisanlar",,
"EmployeeTimesheet.weekTotal","Workeetimesheet.Weektotal",,
"EmployeeTimesheet.user","calisan",,
"EmployeeTimesheet.toDate","Storkeetimesheet.Todate",,
"EmployeeTimesheet.fromDate","Storkeetimesheet.Fromdate",,
"Employee.weeklyWork","calisan.",,
"Employee.startDate","calisan.Startdate",,
"Employee.resume","calisan.Resume",,
"Employee.positionList","calisan.Positionlist",,
"Employee.position","calisan.",,
"Employee.phoneAtCustomer","calisan.Phoneatcustomer",,
"Employee.personalInformations","calisan.",,
"Employee.martialStatus","calisan.Martialstatus",,
"Employee.entryDate","calisan.Entrydate",,
"Employee.endDate","calisan.Enddate",,
"Employee.emergencyNumber","calisan.Emergencynumber",,
"Employee.emergencyContact","calisan.Emergencycontact",,
"Employee.dob","calisan.Dob",,
"Employee.departureDate","calisan.",,
"Employee.department","calisan.",,
"Employee.dailyWork","calisan.Dailywork",,
"Employee.dailyCost","calisan.Dailycost",,
"Employee.country","calisan.Country",,
"Employee.contractType","calisan. Contracttype",,
"Employee.contract","calisan.",,
"Employee.company","calisan.Company",,
"Employee.annualReportOf","calisan.Annualreportof",,
"Employee's other costs","calisanin Diger Maliyetleri",,
"Employee vehicle list","calisan Arac Listesi",,
"Employee status","calisan Durumu",,
"Employee lastname","calisan Lastname",,
"Employee firstname","calisan Birinci Ad",,
"Employee filters","calisan Filtreleri",,
"Employee bonuses","calisan Bonuslari",,
"Employee bonus type","calisan Bonus Turu",,
"Employee bonus mgt","calisan Bonusu Mgt",,
"Employee bonus management filters","calisan Bonus Yonetim Filtreleri",,
"Employee bonus management","calisan Bonus Yonetimi",,
"Employee bonus amount","calisan Bonus Miktari",,
"Employee bonus","calisan Bonusu",,
"Employee advances","calisan Gelisiyor",,
"Employee advance usage","calisan ilerleme Kullanimi",,
"Employee advance list","calisan Advance Listesi",,
"Employee advance","calisan Avans",,
"Employee PhoneBook","calisan Telefon Defteri",,
"Employee %s is not allowed to take leave in advance.","calisan %S'Nin onceden izin Almasina izin Verilmez.",,
"Employee","calisan",,
"Emergency contact relationship","Acil iletisim iliskisi",,
"Emergency contact","Acil iletisim",,
"Emails","E -Postalar",,
"Email sent to %s","%S'Ye Gonderilen E -Posta",,
"Email sent date","E -Posta Gonderilen Tarih",,
"Email reminder for timesheets","Zaman cizelgeleri icin E -Posta Hatirlaticisi",,
"Email reminder for timesheet filling batch","Zaman cizelgesi Doldurma Parti icin E -Posta Hatirlaticisi",,
"Electronic card","Elektronik Kart",,
"Effective start date","Etkili Baslangic ??Tarihi",,
"Education","Egitim",,
"Editor","Editor",,
"Edit extra hours selected","Ekstra Saatleri Duzenle Secildi",,
"Edit Timesheet Selected","Secilen Zaman cizelgesini Duzenle",,
"Edit Start&Stop Timer On Stop","Stop'Ta Baslat Ve Durdur Zamanlayiciyi Duzenle",,
"Edit Leave Request Selected","Secilen izin istegi Duzenle",,
"Edit Expense Selected","Secilen Gider Duzenle",,
"Early termination","Erken Sonlandirma",,
"ETRANGER","Etrisik",,
"ETAB","Etab",,
"E-mail","E-Posta",,
"E-MAIL","E-Posta",,
"Duration(minutes by day)","Sure (Dakikalarca)",,
"Duration(in day per day)","Sure (Gunde Gun icinde)",,
"Duration(hours by day)","Sure (Saatlerce)",,
"Duration equals 0","Sure Esittir 0",,
"Duration adjust for customer","Musteri icin Sure Ayari",,
"Duration","Sure",,
"DrivingClass","Driveclass",,
"Driving licence","Surucu Ehliyeti",,
"Draft","Taslak",,
"Done","Tamamlandi",,
"Document Authority","Belge Otoritesi",,
"Divorced","Bosanmis",,
"Distribution date","Dagitim Tarihi",,
"Distance travelled","Seyahat Edilen Mesafe",,
"Display timesheet line number","Zaman cizelgesi Satiri Numarasini Goruntule",,
"Display task column in printing","Yazdirmada Gorev Sutunu Goruntuleyin",,
"Display activity column in printing","Yazdirmada Etkinlik Sutunu Goruntuleyin",,
"Details","Detaylar",,
"Description","Tanim",,
"Department of birth","Dogum Departmani",,
"Department","Departman",,
"Default day number gain","Varsayilan Gun Numarasi Kazanci",,
"Default Activity Product","Varsayilan Etkinlik urunu",,
"Deduct lunch voucher","ogle Yemegi Kuponunu Dusurun",,
"Decision date","Karar Gunu",,
"Days validated","Gunler Dogrulandi",,
"Days","Gunler",,
"Day leave","Gun izni",,
"Day","Gun",,
"Dates","Tarih",,
"Date of issue (Residence permit)","Sorun Tarihi (ikamet izni)",,
"Date of issue (Driving licence)","Sorun Tarihi (Surucu Lisansi)",,
"Date of issue","Verilis Tarihi",,
"Date of hire","Kiralama Tarihi",,
"Date of expiry (Residence permit)","Son Kullanma Tarihi (ikamet izni)",,
"Date of expiry (Driving licence)","Son Kullanma Tarihi (Surucu Lisansi)",,
"Date of expiry","Son Kullanma Tarihi",,
"Date of birth","Dogum Tarihi",,
"Date of arrangement","Duzenleme Tarihi",,
"Date of Birth","Dogum Tarihi",,
"Date difference should be maximam 31 days.","Tarih Farki Maksimum 31 Gun Olmalidir.",,
"Date can't be in the future for line(s) : %s","Tarih Gelecekte Satir (Lar) icin Olamaz: %S",,
"Date can't be in the future","Tarih Gelecekte Olamaz",,
"Date","Tarih",,
"Daily work hours","Gunluk calisma Saatleri",,
"Daily cost","Gunluk Maliyet",,
"DPAEs","Dpa'Lar",,
"DPAE filters","Dpae Filtreleri",,
"DPAE","Dpae",,
"DEPT NAISS","Naiss",,
"DATE NAISS","Tarih Naiss",,
"DATE DE SORTIE","Tarih De Sortie",,
"DATE D'ENTREE","Tarih D'Entre",,
"Created on","Onda",,
"Created by","Tarafindan Yaratildi",,
"Create new user","Yeni Kullanici Olustur",,
"Create lines for public holidays","Resmi Tatiller icin Satirlar Olusturun",,
"Create lines for day leaves","Gunluk Yapraklar icin cizgiler Olusturun",,
"Create amendment","Degisiklik Olustur",,
"Create","Olusturmak",,
"Country of birth","Dogdugu ulke",,
"Country","ulke",,
"Counted","Sayilmis",,
"Costs","Maliyet",,
"Conventional Monthly Rate","Geleneksel Aylik Oran",,
"Conventional Hourly Rate","Geleneksel Saatlik ucret",,
"Contrat duration must be > to this duration","Kontrat Suresi Bu Sureye Kadar Olmalidir",,
"Contrat duration must be <= to this duration","Kontrat Suresi <= Bu Sureye Kadar Olmalidir",,
"Contractual information","Sozlesmeye Dayali Bilgiler",,
"Contract types","Sozlesme Turleri",,
"Contract type","Sozlesme Tipi",,
"Contract sub type","Sozlesme Alt Turu",,
"Contract extension","Sozlesme Uzatma",,
"Contract","Sozlesme",,
"Continue","Devam Et",,
"Content","icerik",,
"Contact in case of emergency","Acil Durum Durumunda iletisim",,
"Contact","iletisim",,
"Consume","Tuketmek",,
"Consolidate timesheet line on invoice","Faturadaki Zaman cizelgesini Birlestirin",,
"Confirmed Timesheet Template","Onaylanmis Zaman cizelgesi sablonu",,
"Confirmed Extra Hours Template","Onaylandi Ekstra Saatler sablon",,
"Confirm & Continue","Onay Ve Devam Edin",,
"Confirm","Onaylamak",,
"Configuration","Konfigurasyon",,
"Compute distance with web service","Web Hizmeti ile Mesafeyi Hesaplayin",,
"Compute amounts","Hesaplama Miktarlari",,
"Completed","Tamamlanmis",,
"Complete my leave request","izin Talebimi Tamamlayin",,
"Complete my expense","Masrafimi Tamamla",,
"Complete my Timesheet","Zaman cizelgemi Tamamlayin",,
"Complete","Tamamlamak",,
"Company's credit card","sirketin Kredi Karti",,
"Company tax number","sirket Vergi Numarasi",,
"Company fixed phone","sirket Sabit Telefon",,
"Company department","sirket Departmani",,
"Company credit card details","sirket Kredi Karti Ayrintilari",,
"Company code","sirket Kodu",,
"Company address","sirket Adresi",,
"Company %s does not have any expense's sequence","sirket %S'Nin Herhangi Bir Masraf Dizisi Yok",,
"Company","sirket",,
"Companies","sirket",,
"Comments","Yorumlar",,
"Comment","Yorum",,
"Collective agreements","Toplu Sozlesmeler",,
"Collective agreement","Toplu is Sozlesmesi",,
"Colleague Leave Requests","Meslektasim izin Talepleri",,
"Cohabitee","Kehanet",,
"Coefficient for bonus","Bonus Katsayisi",,
"Coefficient","Katsayi",,
"Code of issuing state","Disa Getirme Kodu",,
"Code","Kodlamak",,
"Closed","Kapali",,
"Close period","Yakin Donem",,
"Class","Sinif",,
"City of birth","Dogum Yeri",,
"City","sehir",,
"Citizenship","Vatandaslik",,
"Choose payment mode","odeme Modunu Secin",,
"Childeren","silderen",,
"Charges and Contributions","ucretler Ve Katkilar",,
"Change of position","Pozisyon Degisikligi",,
"Category","Kategori",,
"Categorization","Kategorizasyon",,
"Catalog","Katalog",,
"Card no","Kart Hayir",,
"Canteen","Kantin",,
"Canceled Timesheet Template","iptal Edilen Zaman cizelgesi sablonu",,
"Canceled Leave Request Template","iptal Edilen izin istegi sablonu",,
"Canceled Extra Hours Template","iptal Edilen Ekstra Saatler sablon",,
"Canceled Expense Template","iptal Edilen Gider sablonu",,
"Canceled","iptal Edildi",,
"Cancel payment","odemeyi iptal Et",,
"Cancel","iptal",,
"Can only be selected by HR Management","Yalnizca ik Yonetimi Tarafindan Secilebilir",,
"Calculated","Hesaplanmis",,
"Calculate","Hesaplamak",,
"CSV","Csv",,
"CSP","Csp",,
"CP","Cp",,
"COMPLEMENT","Tamamlayici",,
"CDD","Cdd",,
"Business Visa","is Vizesi",,
"Building","Bina",,
"Bonuses","Bonus",,
"Bonus type","Bonus Turu",,
"Bonus coefficient","Bonus Katsayisi",,
"Body dimensions","Vucut Boyutlari",,
"Body Mont","Vucut Mont",,
"Block expense tax modification","Blok Gider Vergisi Degisikligi",,
"Birth date","Dogum Gunu",,
"Batchs","Parti",,
"Batches","Grup",,
"Basic information","Temel Bilgi",,
"Base amount per employee","calisan Basina Temel Tutar",,
"Bank name","Banka Adi",,
"Bank Order","Banka Emri",,
"Bank Details","Banka Detaylari",,
"Bank","Banka",,
"B+","B+",,
"B","B",,
"Available quantity (before validation)","Mevcut Miktar (Dogrulamadan once)",,
"Available quantity (acquired)","Mevcut Miktar (Edinildi)",,
"Available Stock of Lunch Vouchers","Mevcut ogle Yemegi Kuponlari Stoku",,
"Automatic generation dates must be included in the timesheet period","Otomatik uretim Tarihleri ??Zaman cizelgesi Donemine Dahil Edilmelidir",,
"Attach to","Eklemek",,
